trackId,dRel,yRel,vRel,slot,age,v_ground,v_range,dt
2,34.3750,-1.4375,4.3667,2,126,37.8750,,-8.9022
2,32.6875,-1.3750,4.3583,2,126,37.8750,,-8.8415
2,32.4375,-1.3438,4.3306,2,126,37.8750,,-8.7817
2,33.9375,-1.1875,4.3333,2,126,37.8750,,-8.7219
2,34.8125,-1.1719,4.3194,2,126,37.8750,,-8.6622
2,34.8125,-1.1250,4.3139,2,126,37.8750,,-8.6015
2,33.0625,-1.0469,4.1556,2,126,37.7250,,-8.5421
2,33.0625,-1.0469,4.1528,2,126,37.7250,,-8.4827
2,35.3125,-0.9688,4.1472,2,126,37.7250,,-8.4218
2,36.6875,-0.9531,4.2694,2,126,37.8750,,-8.3616
2,37.5000,-0.9531,4.2667,2,126,37.8750,,-8.2918
2,37.5000,-0.9531,4.2389,2,126,37.8750,,-8.2423
2,38.0000,-0.9688,4.0833,2,126,37.7250,,-8.1816
2,35.4375,-0.7969,4.2028,2,126,37.8750,,-8.1216
2,35.4375,-0.7969,4.2056,2,126,37.8750,,-8.0623
2,36.6250,-0.8594,4.3278,2,126,38.0250,,-8.0022
2,37.5625,-0.9219,4.3389,2,126,38.0250,,-7.9424
2,39.1250,-0.8281,4.0194,2,126,37.7250,3.2005,-7.8817
2,39.1250,-0.7500,3.8444,2,126,37.5750,2.8972,-7.8117
2,38.8750,-0.7344,3.6778,2,126,37.4250,2.5923,-7.7517
2,38.8750,-0.7344,3.6611,2,126,37.4250,2.5913,-7.7023
2,37.8125,-0.7031,3.6472,2,126,37.4250,2.6216,-7.6417
2,39.5000,-0.7188,3.6278,2,126,37.4250,3.2023,-7.5720
2,39.5000,-0.7188,3.4472,2,126,37.2750,3.5663,-7.5224
2,37.9375,-0.7188,3.2750,2,126,37.1250,3.5654,-7.4622
2,37.0000,-0.7031,3.4278,2,126,37.2750,3.3537,-7.4024
2,37.0000,-0.7031,3.3917,2,126,37.2750,2.6835,-7.3418
2,38.5000,-0.7188,3.3778,2,126,37.2750,2.6346,-7.2722
2,39.8750,-0.7500,3.3611,2,126,37.2750,2.6212,-7.2118
2,41.3750,-0.7500,3.1944,2,126,37.1250,2.6224,-7.1517
2,39.5000,-0.7500,3.0306,2,126,36.9750,3.0485,-7.0918
2,40.9375,-0.7500,3.0028,2,126,36.9750,3.0491,-7.0321
2,38.7500,-0.7656,3.0139,2,126,36.9750,3.1709,-6.9723
2,39.2500,-0.7656,3.1306,2,126,37.1250,2.7124,-6.9124
2,39.1875,-0.7656,3.4250,2,126,37.4250,2.0735,-6.8517
2,39.2500,-0.7656,3.4083,2,126,37.4250,2.1453,-6.7921
2,39.3125,-0.7500,3.7333,2,126,37.7250,2.1446,-6.7324
2,40.5000,-0.7188,3.7389,2,126,37.7250,2.1339,-6.6718
2,38.6875,-0.7188,3.4528,2,126,37.4250,1.7296,-6.6119
2,37.9375,-0.7344,3.1806,2,126,37.1250,1.7379,-6.5522
2,42.1250,-0.7188,3.1833,2,126,37.1250,2.1846,-6.4917
2,42.1875,-0.6250,3.0389,2,126,36.9750,2.1950,-6.4317
2,43.8125,-0.5625,3.3556,2,126,37.2750,2.2446,-6.3718
2,41.2500,-0.5469,3.3472,2,126,37.2750,2.3666,-6.3120
2,42.1875,-0.5312,3.3333,2,126,37.2750,2.1648,-6.2516
2,42.8750,-0.5312,3.3583,2,126,37.2750,1.8902,-6.1917
2,42.8750,-0.5312,3.5222,2,126,37.4250,1.9515,-6.1320
2,45.8750,-0.5938,3.2278,2,126,37.1250,2.5921,-6.0714
2,42.1875,-0.5625,3.2389,2,126,37.1250,2.7751,-6.0125
2,40.3750,-0.5312,3.3806,2,126,37.2750,2.8962,-5.9523
2,43.1250,-0.5000,3.5611,2,126,37.4250,2.4991,-5.8916
2,43.8125,-0.5469,3.3972,2,126,37.2750,2.5001,-5.8320
2,43.2500,-0.5312,3.1000,2,126,36.9750,2.4996,-5.7723
2,40.6875,-0.5156,2.9306,2,126,36.8250,2.4994,-5.7117
2,43.2500,-0.4844,3.2639,2,126,37.1250,2.5003,-5.6521
2,44.8750,-0.5781,3.2139,2,126,37.1250,2.5008,-5.5820
2,41.6875,-0.5469,3.2278,2,126,37.1250,1.9200,-5.5220
2,42.4375,-0.5938,3.2889,2,126,37.1250,1.1586,-5.4626
2,42.4375,-0.5938,3.4250,2,126,37.2750,1.1588,-5.4121
2,42.8125,-0.5625,3.2861,2,126,37.1250,1.2198,-5.3418
2,42.5625,-0.5156,3.5889,2,126,37.4250,2.0427,-5.2819
2,42.9375,-0.5000,3.4389,2,126,37.2750,2.2567,-5.2223
2,43.3750,-0.4844,3.4583,2,126,37.2750,2.2456,-5.1618
2,43.8750,-0.4688,3.4722,2,126,37.2750,2.0128,-5.1019
2,46.9375,-0.5781,3.4306,2,126,37.2750,2.0123,-5.0423
