cam_track,h,h_s,v_cam,radar_x,cam_ids_in_window,dt
95,69.4554,69.4566,,62.1250,6,-17.0047
95,69.6939,69.4560,,62.1250,6,-16.9547
95,69.4566,69.4566,,60.0000,6,-16.9047
95,69.4102,69.4566,,60.0000,6,-16.8547
95,69.6779,69.4476,,63.5625,6,-16.8047
95,69.4476,69.4102,,63.5625,6,-16.7547
95,69.1225,69.4476,,63.7500,6,-16.7047
95,69.1026,69.4476,,60.2500,6,-16.6547
95,70.4841,70.4841,,61.8750,6,-16.6047
95,71.2264,71.2031,,61.8750,6,-16.5547
95,71.2031,71.2031,-1.9641,66.4375,6,-16.5046
95,71.4324,71.2031,-1.9647,66.4375,6,-16.4547
95,70.6128,70.8445,-1.9822,66.4375,6,-16.4047
95,70.7129,70.7129,-1.9075,63.8750,6,-16.3547
95,70.8445,70.7129,-1.9160,63.8750,6,-16.3047
95,70.0442,70.8445,-1.5368,62.5000,6,-16.2547
95,71.2675,71.2675,-1.5039,62.5000,6,-16.2047
95,71.9519,71.2675,-1.5039,62.5000,6,-16.1547
95,72.0551,71.2675,-1.5440,59.1250,6,-16.1047
95,71.2394,71.4933,-1.4449,62.0000,6,-16.0547
95,71.2218,71.4933,-1.4449,62.0000,6,-16.0047
95,71.4933,71.4933,-1.6341,62.4375,6,-15.9547
95,71.5124,71.5124,-1.9416,62.4375,6,-15.9047
95,72.3128,71.5124,-1.9649,62.3750,6,-15.8547
95,71.8062,71.5124,-1.9649,62.3750,6,-15.8047
95,71.1520,71.1819,-1.9322,62.1250,6,-15.7047
95,71.1819,71.1819,-1.4794,61.9375,6,-15.6547
95,71.0441,71.1819,-1.5869,61.9375,6,-15.6047
95,72.3937,72.3937,-1.6313,58.2500,6,-15.5547
95,72.9243,72.9243,-1.5944,60.6250,6,-15.5047
95,73.3232,72.9243,-1.7013,61.6875,6,-15.4546
95,73.2670,73.1392,-2.0021,61.6875,6,-15.4047
95,72.7804,73.1392,-2.0988,57.8750,6,-15.3547
95,73.1392,73.0336,-2.1481,57.8750,6,-15.3046
95,73.0336,73.0336,-2.1851,58.3125,6,-15.2546
95,72.9403,73.1392,-3.1316,58.3125,6,-15.2047
95,73.1637,73.0336,-3.0886,55.6875,6,-15.1547
95,73.3394,73.1637,-3.2275,55.6875,6,-15.1046
95,72.9672,73.3394,-2.5907,56.3125,6,-15.0547
95,73.5426,73.4455,-2.2235,56.3125,6,-15.0047
95,73.4455,73.5426,-2.1079,54.8750,6,-14.9547
95,73.9111,73.9111,-1.9482,54.4375,6,-14.9047
95,74.3080,74.2155,-2.0176,54.4375,6,-14.8547
95,74.2804,74.2804,-2.4828,55.0000,6,-14.8047
95,74.2155,74.3080,-2.8451,55.0000,6,-14.7546
95,75.7415,75.5980,-2.7372,54.2500,6,-14.5547
95,75.5980,75.7415,-2.6933,54.3125,6,-14.5047
95,76.2353,75.9534,-2.5849,54.3750,6,-14.4547
95,76.2209,76.2209,-2.4729,54.3750,6,-14.4047
95,75.9534,76.2209,-2.4057,54.3750,6,-14.3547
95,76.2356,76.1269,-2.6633,54.3750,6,-14.3047
