v_ego,a_ego,v_cruise_kph,long_state,brake,gas,model_x,model_y,model_v,model_prob,rec_aTarget,rec_hasLead,rec_lead_dRel,vision_l1_present,vision_l1_radar,vision_l1_trackId,vision_l1_dRel,vision_l1_yRel,vision_l1_vLead,vision_l1_aLeadK,vision_l1_modelProb,vision_l2_present,vision_l2_radar,vision_l2_dRel,vision_aTarget,vision_source,vision_fcw,vision_crash_cnt,vision_n_tracks,raw_l1_present,raw_l1_radar,raw_l1_trackId,raw_l1_dRel,raw_l1_yRel,raw_l1_vLead,raw_l1_aLeadK,raw_l1_modelProb,raw_l2_present,raw_l2_radar,raw_l2_dRel,raw_aTarget,raw_source,raw_fcw,raw_crash_cnt,raw_n_tracks,openpilot_l1_present,openpilot_l1_radar,openpilot_l1_trackId,openpilot_l1_dRel,openpilot_l1_yRel,openpilot_l1_vLead,openpilot_l1_aLeadK,openpilot_l1_modelProb,openpilot_l2_present,openpilot_l2_radar,openpilot_l2_dRel,openpilot_aTarget,openpilot_source,openpilot_fcw,openpilot_crash_cnt,openpilot_n_tracks,dt
18.5740,0.3340,65.0000,off,0,1,42.0000,0.3770,18.5620,0.9990,-0.0320,1.0000,38.3240,1,0,-1,40.4800,-0.3770,18.6530,0.0670,0.9990,1,0,40.5740,0.2851,0,0,0,0,1,1,1,40.5620,-0.3590,18.9430,-0.8530,0.9990,1,1,40.5620,0.2394,1,0,0,1,1,1,1,40.5620,-0.3590,18.8190,-0.8480,0.9990,1,1,40.5620,0.2258,1,0,0,1,-11.9845
18.5970,0.3270,65.0000,off,0,1,41.4690,0.3940,18.8280,0.9990,-0.0330,1.0000,40.4800,1,0,-1,39.9490,-0.3940,18.8860,0.0590,0.9990,1,0,39.9800,0.2781,0,0,0,0,1,1,1,40.1250,-0.3750,18.9560,-0.7150,0.9990,1,1,40.1250,0.2513,1,0,0,1,1,1,1,40.1250,-0.3750,18.8310,-0.7100,0.9990,1,1,40.1250,0.2374,1,0,0,1,-11.9113
18.6250,0.4310,65.0000,off,0,1,41.5310,0.3720,18.5310,0.9990,-0.0350,1.0000,39.9490,1,0,-1,40.0110,-0.3720,18.7490,0.0440,0.9990,1,0,40.0420,0.3829,0,0,0,0,1,1,1,40.1250,-0.3750,18.9360,-0.5980,0.9990,1,1,40.1250,0.3384,1,0,0,1,1,1,1,40.1250,-0.3750,18.8120,-0.5940,0.9990,1,1,40.1250,0.3244,1,0,0,1,-11.8636
18.6380,0.3580,65.0000,off,0,1,43.1560,0.3980,19.3280,0.9990,-0.0360,1.0000,40.0110,1,0,-1,41.6360,-0.3980,19.4550,0.1330,0.9990,1,0,41.6990,0.3098,0,0,0,0,1,1,1,40.1250,-0.3750,18.9490,-0.4900,0.9990,1,1,40.1250,0.3098,0,0,0,1,1,1,1,40.1250,-0.3750,18.8250,-0.4870,0.9990,1,1,40.1250,0.3098,0,0,0,1,-11.8141
18.6540,0.3370,65.0000,off,0,1,42.4380,0.4250,18.6250,0.9990,-0.0370,1.0000,41.6360,1,0,-1,40.9170,-0.4250,18.7680,0.0470,0.9990,1,0,40.9170,0.2887,0,0,0,0,1,1,1,41.2500,-0.3750,18.9710,-0.3890,0.9990,1,1,41.2500,0.2887,0,0,0,1,1,1,1,41.2500,-0.3750,18.8460,-0.3860,0.9990,1,1,41.2500,0.2887,0,0,0,1,-11.7645
18.6650,0.2930,65.0000,off,0,1,42.9690,0.5470,18.5780,0.9990,-0.0380,1.0000,40.9170,1,0,-1,41.4490,-0.5470,18.6660,0.0370,0.9990,1,0,41.4800,0.2450,0,0,0,0,1,1,1,39.7500,-0.3750,18.4810,-0.4410,0.9990,1,1,39.7500,0.2450,0,0,0,1,1,1,1,39.7500,-0.3750,18.3600,-0.4380,0.9990,1,1,39.7500,0.2450,0,0,0,1,-11.7146
18.6800,0.2940,65.0000,off,0,1,42.6560,0.4830,19.0780,0.9990,-0.0390,1.0000,41.4490,1,0,-1,41.1360,-0.4830,19.1060,0.0840,0.9990,1,0,41.1670,0.2451,0,0,0,0,1,1,1,41.8120,-0.3910,18.3300,-0.5200,0.9990,1,1,41.8120,0.2451,0,0,0,2,1,1,1,41.8120,-0.3910,18.2090,-0.5160,0.9990,1,1,41.8120,0.2451,0,0,0,1,-11.6633
18.6940,0.2800,65.0000,off,0,1,42.4690,0.5500,18.7970,0.9990,-0.0400,1.0000,41.1360,1,0,-1,40.9490,-0.5500,18.9140,0.0550,0.9990,1,0,40.9800,0.2319,0,0,0,0,1,1,1,40.8120,-0.3910,18.1520,-0.6280,0.9990,1,1,40.8120,0.2070,1,0,0,2,1,1,1,40.8120,-0.3910,18.0330,-0.6240,0.9990,1,1,40.8120,0.1934,1,0,0,1,-11.6135
18.7160,0.3460,65.0000,off,0,1,42.2190,0.5980,19.0470,0.9990,-0.0400,1.0000,40.9490,1,0,-1,40.6990,-0.5980,19.1770,0.0690,0.9990,1,0,40.6990,0.2978,0,0,0,0,1,1,1,40.4380,-0.3750,17.4270,-0.9140,0.9990,1,1,40.4380,0.1290,1,0,0,2,1,1,1,40.4380,-0.3750,17.3130,-0.9080,0.9990,1,1,40.4380,0.1166,1,0,0,1,-11.5640
18.7370,0.3770,65.0000,off,0,1,43.1560,0.6520,18.9060,0.9990,-0.0420,1.0000,40.6990,1,0,-1,41.6360,-0.6520,18.9910,0.0770,0.9990,1,0,41.6670,0.3282,0,0,0,0,1,1,1,40.4380,-0.3750,17.4480,-1.1280,0.9990,1,1,40.4380,0.1230,1,0,0,2,1,1,1,40.4380,-0.3750,17.3340,-1.1210,0.9990,1,1,40.4380,0.1107,1,0,0,1,-11.5141
