drive,seg,t,track,minA,native,cam,cam_trend,d,cls,dur,age_min,radar_d,radar_y,model_y_left,vrel_native,vrel_range,vrel_range_causal_1_5s,vrel_range_causal_3s,vrel_bounded_3s,vrel_cam,cam_ids,vrel_vision,brake_in_5s
B,B01,117.100,-1,-1.226,0.080,,,,vision-led (planner history),,,,,,,,,,,,,,
B,B04,248.300,-1,-1.341,-4.170,,,,vision-led (planner history),,,,,,,,,,,,,,
B,B05,331.600,10,-1.020,-2.860,,,32.700,no camera pair,,,,,,,,,,,,,,
B,B07,474.300,1,-1.050,-1.740,-2.020,,22.300,camera confirms closing,,,,,,,,,,,,,,
B,B11,679.200,1,-1.720,-4.410,-0.380,-1.910,47.900,camera confirms closing,,,,,,,,,,,,,,
B,B11,711.900,-1,-1.721,-2.330,,,,vision-led (planner history),,,,,,,,,,,,,,
B,B17,1059.300,31,-1.010,-4.910,-4.490,-5.460,65.700,camera confirms closing,,,,,,,,,,,,,,
B,B20,1224.900,-1,-1.500,0.750,,,,vision-led (planner history),,,,,,,,,,,,,,
B,B26,294.600,48,-1.010,-6.170,-6.450,-7.800,90.800,camera confirms closing,,,,,,,,,,,,,,
B,B32,604.600,-1,-1.195,-0.590,,,,vision-led (planner history),,,,,,,,,,,,,,
B,B37,954.100,92,-1.360,-2.400,-2.770,-2.740,33.500,camera confirms closing,,,,,,,,,,,,,,
B,B37,958.700,92,-1.080,-2.590,,,21.900,no camera pair,,,,,,,,,,,,,,
C,C01,115.300,2,-1.210,-1.190,-0.710,-0.860,38.200,camera ~steady (native overstated),,,,,,,,,,,,,,
C,C03,232.700,-1,-1.325,-2.550,,,,vision-led (planner history),,,,,,,,,,,,,,
C,C04,272.500,1,-1.120,-2.810,-0.360,0.140,52.200,camera ~steady (native overstated),,,,,,,,,,,,,,
C,C05,352.000,2,-1.120,-2.230,-2.420,-2.320,43.900,camera confirms closing,,,,,,,,,,,,,,
C,C06,411.500,1,-1.240,-3.400,-1.900,-1.910,38.600,camera confirms closing,,,,,,,,,,,,,,
C,C07,441.900,14,-2.240,-3.250,-0.600,-1.450,56.500,camera confirms closing,,,,,,,,,,,,,,
C,C08,506.400,1,-1.770,-2.330,-1.310,-1.500,35.100,camera confirms closing,,,,,,,,,,,,,,
C,C09,577.600,1,-1.520,-0.980,-0.050,0.050,37.400,camera ~steady (native overstated),,,,,,,,,,,,,,
