drive,group,scenario,ticks,injected_ticks,ghost_chosen_as_lead_share_of_injected,ghost_chosen_share_when_vision_lead_prob_gt_0.5,ghost_chosen_radar_only_modelProb0,nan_aTarget_ticks,nan_lead_dRel_or_vLead_ticks,mpc_nonzero_status_ticks,fcw_ticks,baseline_fcw_ticks,aTarget_minus_baseline_injected_p05_min,ticks_braking_harder_than_baseline_by_1
A,A,baseline,31199,0,,0.0,0,0,0,0,6,6,,0
A,A,vision_only_no_radar,31199,0,,0.0,0,0,0,0,0,6,,110
B,B-part1,baseline,26096,0,,0.0,0,0,0,0,0,0,,0
B,B-part1,vision_only_no_radar,26096,0,,0.0,0,0,0,0,0,0,,22
B,B-part1,ghost_same_d_v_dy3.6_true_missing,26096,26096,0.391,0.545,346,0,0,0,0,0,,397
B,B-part1,lead_vrel_nan_2s,26096,892,0.0,0.0,0,0,110,0,0,0,,1631
B,B-part1,lead_vrel_minus6_2s,26096,1470,0.0,0.0,0,0,0,0,0,0,,524
B,B-part2,baseline,24222,0,,0.0,0,0,0,0,0,0,,0
B,B-part2,vision_only_no_radar,24222,0,,0.0,0,0,0,0,0,0,,80
B,B-part2,ghost_same_d_v_dy3.6_true_missing,24222,24222,0.252,0.578,114,0,0,0,0,0,,195
B,B-part2,lead_vrel_nan_2s,24222,433,0.0,0.0,0,0,38,0,0,0,,933
B,B-part2,lead_vrel_minus6_2s,24222,736,0.0,0.0,0,0,0,0,1,0,,350
C,C,baseline,28799,0,,0.0,0,0,0,0,0,0,,0
C,C,vision_only_no_radar,28799,0,,0.0,0,0,0,0,0,0,,111
C,C,ghost_same_d_v_dy3.6_true_missing,28799,28799,0.461,0.523,0,0,0,0,0,0,,37
C,C,lead_vrel_nan_2s,28799,1227,0.0,0.0,0,0,134,0,0,0,,780
C,C,lead_vrel_minus6_2s,28799,2126,0.0,0.0,0,0,0,0,50,0,,1924
A_engaged,highway_follow,baseline,2398,0,,0.0,0,0,0,0,6,6,,0
A_engaged,highway_follow,ghost_same_d_v_dy1_with_true,2398,2398,0.589,0.613,0,0,0,0,0,6,,0
A_engaged,highway_follow,ghost_same_d_v_dy1_true_missing,2398,2398,0.75,0.78,0,0,0,0,0,6,,0
A_engaged,highway_follow,ghost_same_d_v_dy1.8_with_true,2398,2398,0.143,0.148,0,0,0,0,0,6,,0
A_engaged,highway_follow,ghost_same_d_v_dy1.8_true_missing,2398,2398,0.544,0.565,0,0,0,0,0,6,,0
A_engaged,highway_follow,ghost_same_d_v_dy3.6_with_true,2398,2398,0.013,0.012,0,0,0,0,6,6,,0
A_engaged,highway_follow,ghost_same_d_v_dy3.6_true_missing,2398,2398,0.486,0.505,0,0,0,0,0,6,,0
A_engaged,highway_follow,ghost_same_d_v_dy6_with_true,2398,2398,0.005,0.003,0,0,0,0,6,6,,0
A_engaged,highway_follow,ghost_same_d_v_dy6_true_missing,2398,2398,0.337,0.35,0,0,0,0,0,6,,0
A_engaged,highway_follow,ghost_center_0.8d_minus3_with_true,2398,2398,0.044,0.045,0,0,0,0,0,6,,2
A_engaged,highway_follow,ghost_center_0.8d_minus3_true_missing,2398,2398,0.5,0.519,0,0,0,0,0,6,,39
A_engaged,highway_follow,ghost_adjacent_0.8d_minus3_true_missing,2398,2398,0.326,0.338,0,0,0,0,0,6,,30
A_engaged,highway_follow,ghost_center_0.6d_true_missing,2398,2398,0.0,0.0,0,0,0,0,0,6,,0
